article_id,manual_label_id,label,user_id_hash,sample_method,source,publication_timestamp,target_entity,full_text_available,existing_split,historical_exposure_status,historical_test_120_membership,active_test_148_membership,r5b_153_membership,normalized_title_hash,combined_text_hash,normalized_url_hash,text_length
1503,582,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,r5b_153,unknown,False,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2a6e172052d947f6df2c2509b87c18729c31150e5c4afeae99b7ce85408a3e98,,228
487,527,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,r5b_153,unknown,False,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d7c613f7efed0518f9f877dd0e5ab4aca3c7894a34ed17283135a5e65773bb89,,264
354,31,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,15fb8f253b025b86fd02d693d41bea24ba9f0406446bb6dedafd0717bd41c27b,,255
891,525,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ffd6f8b339b35041a230a2fb926805456e3135b6a881ad4599869a874a907907,,288
397,798,positive,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5df7ab28abac56ca9d418e274b8bc7927fa91eaf1c957ec485d12f9e0ed827b1,,210
1206,873,positive,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,08c24e4ce7e29aaa21a8ba7c80dc376ae21391426937ba7a28bc23994952de14,,207
931,283,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,r5b_153,unknown,False,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2b7d820aa58d11b7f453fe65401668976ad81aedda2445cfd91b06f3cf1555b9,,357
1586,899,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4d1c79f41e8d8932f82cf633708ffea806f0c12f9552e023a71c041126b72248,,326
866,246,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,80b27961243c81e7a861f5dcd6d26af49d0df2c168688e0951aeb7673dfe62ee,,374
561,279,positive,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1572abd374590ab50af34f38abf0843b82e00303f0ca3655b43fbe93158c8598,,255
1094,193,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3e686eab2a206d23a7d68a955643ff84d6ec709071617f325fdbec7afb71251b,,222
270,564,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3133d25415feaeea354ec2a2ac3114865cc4ba56ab1d4909729ab084c84fecaa,,317
1310,195,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,03e531d9b4bb28fded08d6be1186e3011a0b5260e6a85fe23e5b72aeff10af95,,198
677,728,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6f7530eb618790f8427a5544c3b6ffd2231c19cd5cd7bbe0d548da1b141334ba,,258
1131,368,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c09d818a983432ed7e546d599473ee426509a5961de09388bf040986ae7125c0,,255
1187,980,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1c6785bfaaead42aeca0bfa04277dc97ccf7664af88340180a9f8cbd7bb950f3,,243
549,90,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cca403cb16be78858867d8592d6df19eda822b4074f67212957e30606920d597,,246
599,734,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d96848ddaeeb7d425f5592996b8f004d32029f013b2d754b2d6ede4b19fc8c17,,237
1390,316,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a1595227de8a1c0b63ed292c29196c1ae8e60bd8d1234f2f0b0fc4fc88cbc303,,246
823,603,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c0290c917bacc0ba0f4b65b8be4df9e8b3396a56cd23eeb2e7a72c53bdedf001,,249
465,971,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,adce9bcbaac0e648a4c3c72af636ae5f775aac3af92bf025d924b8bdf9995a3a,,339
1393,73,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,839040632b642057c9f6c906589439f998573dc390394474b3621a1d50a40cfa,,237
402,715,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c727feee447b3f64fe2850f355a32de4d584c0886464072d52e953ad43ddd77d,,156
1493,941,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f361e2aee26181d7fce445d22a48912b247d8b669f2577cfe046fc99f455899f,,279
815,324,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d3010e467f6318fad81c49597fcd85074f80466927ee7251777b843c013ea3be,,261
960,347,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,r5b_153,unknown,False,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a0e042398f6f6e8880b2c272818e292be0fef08d22d09d5a528d7b9b9801a52d,,297
1703,698,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,304849bc6eadf4e41893e2b3064045030e4be581f09e69e956054ec3adf9384f,,282
1538,250,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a49a39b7c8b52b3fb8ef0e18713e70cedd502839825ae7539fa2ea5f26fa66e8,,216
1475,944,positive,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6445404769d852aee08d5f0197b0108f2e84c59f5b6aceff51a4d18b1b74e823,,369
1891,876,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5b7368f3a60144a6881844e1f3728240018c654d8cd33ef740d5d9d09372a299,,264
120,690,neutral,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ed52262d68e3a9921bf8feb3fe70fe5da53c6f6b670bf6e7b0a7b563f2ce380b,,300
1501,706,negative,d4735e3a265e16ee,legacy_hard_case,,,,False,active_train,no_known_test_exposure,unknown,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f364f293f93b5ccc33a92ccd27433744d702c1bc91166963cfcb61775722e214,,329
