article_id,manual_label_id,label,user_id_hash,sample_method,source,publication_timestamp,canonical_target_entity,target_entity_source,full_text_available,existing_split,historical_exposure_status,historical_test_120_membership,active_test_148_membership,r5b_153_membership,normalized_title_hash,combined_text_hash,normalized_url_hash,text_length,has_required_text
13,91,positive,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-18 09:00:00,BBCA,stock_code,True,active_test_148,active_test_148,unknown,True,False,6c12ed561e362045fa38976ce2480e47cee43a1ba36425e89d3928cc4dcc6002,40c735583f88063288ee1685514ca69167f51bc91f454a74f24f9d24216c1763,750831add589ab9b4907779a678dd9fab1f61f1f3c6a1be1c49c3859d5d91878,192,True
14,689,neutral,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-17 09:00:00,BBRI,stock_code,True,active_train,r5b_153,unknown,False,True,5d096db88690441dbedfb7aa868897d151c0aeacceda9e14a14876e803abdd88,d8f55fa2404b5547036d2358a512537c6ee24f0fd06eea03cd9f78bde6790f84,dc0106671faae763701a471487faef082858fd7171679a31737ad5e687868cd1,198,True
15,388,neutral,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-16 09:00:00,TLKM,stock_code,True,active_train,no_known_test_exposure,unknown,False,False,e82b8d56d143dde32be3a6e11b4a3ce02231ab22b443983d890e61a467b57492,4373f5a4c585af8b25782db1c3ccfdef82554277fad3a5e38d510b9cfb3d9219,442d7229e920ae0edb768f0fcd2ef8040a68ab9aa7ab14702bd862e771fd212f,218,True
16,248,neutral,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-15 09:00:00,GOTO,stock_code,True,active_test_148,active_test_148,unknown,True,False,560ac0adf93502c5798206f4b8eba1fd4c9879998301f31a7125a594c68fabfb,732dcb344fa78874860498d24577e2cda58d634e56e8ecbcfaf5205b360d10dc,7bba74cd364d1eda1719e81c4a17733f27887dc8d84957fc7acf6f0a9c76d32a,206,True
17,1177,neutral,d4735e3a265e16ee,representative_random,unknown,2026-04-14 09:00:00,ASII,stock_code,True,,no_known_test_exposure,unknown,False,False,3ca111880d778d966697293ca585d59f3bcd430e16295d45f141bdfb4153f61b,bbf899902652b8b7012e3a2b44e797355d8d4d2c2c63f29bd315742acb889ae7,296e420e469baecfe834089f928b3b724a50cc2b75f9775a4dae9da05295b8fc,210,True
18,95,neutral,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-13 09:00:00,,missing,True,active_train,no_known_test_exposure,unknown,False,False,6005ee6bac5cd682b7d9aecb4a1deab3996b2d333037556b593a9ba58464f6da,59742f48ee054b5e2e67d406a2852b2485b71a8af13de716b21a60ebfaa016b1,96439adc621771a2d3f7cb4cd648d72ae5698d20577497f519daf446c687c88a,189,True
19,1333,neutral,d4735e3a265e16ee,representative_random,unknown,2026-04-12 09:00:00,INDF,stock_code,True,,no_known_test_exposure,unknown,False,False,6ea315da32ce1538ca0eefe455a84cfd15d555c8f699418d642d1e02f0621464,12591c33852acd35d69bf913ba57eb82c538dc37feb7c92d243b6319698de8e4,e5d026918250d41580e50dc461069ffe573cf7578c652cab398a6b7e350a6f6c,206,True
20,286,positive,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-11 09:00:00,ICBP,stock_code,True,active_train,no_known_test_exposure,unknown,False,False,46421a0a735081655f9057eae66f4e620d01151ee658aa32ab2ed672207f3484,c33b2f67460d9909b559f164a650c7790c8378cde20d45605f92e8c8b9d79cb8,ad274daacbea9be62945111012c27c73422c6fa6e7f39bbefd01df5752ca0132,178,True
21,392,neutral,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-10 09:00:00,ADRO,stock_code,True,active_test_148,active_test_148,unknown,True,False,9e8b27aea7d703d19584c1128db56c8e92b5eac8d6ee02c80e46cddd1ed03050,91548d3e0a3830ae925d3eedb6a29b06a8a7b4ab431481bbca91914cbe378f61,00b17a045d2b774c772515c7476f5a2fbfafeae1a60199176a379257e632e8e2,204,True
22,16,positive,d4735e3a265e16ee,legacy_hard_case,unknown,2026-04-07 09:00:00,,missing,True,active_train,no_known_test_exposure,unknown,False,False,08f0cf5b6179e2f7593033accba269a1048f592a9bcb28d0114622fa89fb4d1b,9e44267d909eea7a26ce52411c513534a86f29cc2f8059a9180a318a0ec1fe1a,34c46d807b5e1f6887b33457838ba70782b386b517b5dc44981786010fb08541,181,True
