left_split,right_split,left_article_id,right_article_id,similarity,overlap_type,left_label,right_label,left_sample_method,right_sample_method,left_source_path,right_source_path,left_row_number,right_row_number
active_train,active_train,823,646,1.0,identical_text_label_conflict,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,20,215
active_train,active_train,435,216,1.0,identical_text_label_conflict,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,254,351
active_train,active_train,1023,963,1.0,identical_text_label_conflict,negative,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/train.jsonl,393,662
active_train,active_validation,1691,1528,1.0,identical_text_label_conflict,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,205,116
active_train,active_validation,884,801,1.0,identical_text_label_conflict,positive,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,577,18
active_train,active_validation,830,1121,1.0,identical_text_label_conflict,neutral,negative,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,634,27
active_train,active_validation,1134,1528,1.0,identical_text_label_conflict,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/val.jsonl,682,116
active_train,active_test_candidate,512,897,1.0,identical_text_label_conflict,positive,neutral,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/test.jsonl,169,9
active_train,active_test_candidate,826,493,1.0,identical_text_label_conflict,neutral,positive,,,storage/app/sentiment_finetune/train.jsonl,storage/app/sentiment_finetune/test.jsonl,552,83
active_train,r5b_hard_case_diagnostic,963,1023,1.0,identical_text_label_conflict,neutral,negative,,legacy_hard_case,storage/app/sentiment_finetune/train.jsonl,output/prediction_research/sentiment_r5b_locked_tests/legacy_hard_case_test.jsonl,662,87
active_validation,active_validation,1510,1583,1.0,identical_text_label_conflict,neutral,negative,,,storage/app/sentiment_finetune/val.jsonl,storage/app/sentiment_finetune/val.jsonl,103,107
active_validation,r5b_hard_case_diagnostic,1510,1583,1.0,identical_text_label_conflict,neutral,negative,,legacy_hard_case,storage/app/sentiment_finetune/val.jsonl,output/prediction_research/sentiment_r5b_locked_tests/legacy_hard_case_test.jsonl,103,76
